Algorithm: LambdaMART 
Dataset:   MQ2008

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3697	0.391	0.4172	0.447	0.4698	0.4765	0.4932	0.4399	0.216	0.2186	0.471
Fold2	0.3461	0.3721	0.3882	0.4066	0.4248	0.4432	0.4476	0.428	0.1745	0.1775	0.4394
Fold3	0.3715	0.3854	0.4008	0.4242	0.4491	0.4635	0.4672	0.4489	0.2444	0.2487	0.4704
Fold4	0.3992	0.4528	0.4886	0.5079	0.5274	0.5398	0.5414	0.4898	0.2897	0.2924	0.5403
Fold5	0.3843	0.439	0.4744	0.4912	0.52	0.5371	0.5422	0.5073	0.223	0.2271	0.5262
Avg	0.37416	0.40806	0.43384	0.45538	0.47822	0.49202	0.49832	0.46278	0.22952	0.23286	0.48946

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4423	0.3942	0.3868	0.3702	0.3513	0.3152	0.2949	0.2756	0.2528	0.2359	0.4649
Fold2	0.4013	0.3854	0.3482	0.3232	0.3083	0.2951	0.2748	0.2564	0.2371	0.2223	0.4372
Fold3	0.4268	0.3885	0.3609	0.3424	0.3236	0.3004	0.283	0.2619	0.2456	0.2318	0.4507
Fold4	0.4841	0.4682	0.4586	0.4236	0.3987	0.3822	0.3521	0.3328	0.3128	0.2911	0.5269
Fold5	0.4777	0.4427	0.4161	0.3742	0.3516	0.3291	0.303	0.2842	0.2696	0.2529	0.512
Avg	0.44644	0.4158	0.39412	0.36672	0.3467	0.3244	0.30156	0.28218	0.26358	0.2468	0.47834

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4013	0.4634	0.4903	0.4997	0.5243	0.5403	0.5479	0.5094	0.2243	0.23	0.5302
Fold2	0.3846	0.4172	0.4451	0.4643	0.4813	0.4882	0.4972	0.4478	0.2232	0.2259	0.4858
Fold3	0.3885	0.3705	0.3978	0.4183	0.4385	0.4509	0.4566	0.4318	0.1699	0.1728	0.4535
Fold4	0.3864	0.388	0.4067	0.4296	0.4498	0.4661	0.4676	0.4514	0.2453	0.2488	0.4748
Fold5	0.4352	0.4501	0.471	0.5038	0.5229	0.5294	0.5399	0.4897	0.2856	0.2917	0.5393
Avg	0.3992	0.41784	0.44218	0.46314	0.48336	0.49498	0.50184	0.46602	0.22966	0.23384	0.49672

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4777	0.449	0.414	0.3742	0.3516	0.3259	0.3021	0.2811	0.2633	0.2503	0.5096
Fold2	0.4615	0.4135	0.3974	0.3734	0.3526	0.3162	0.293	0.2732	0.255	0.2397	0.4727
Fold3	0.4522	0.3726	0.3439	0.3296	0.3121	0.2941	0.2766	0.2524	0.2371	0.2236	0.4583
Fold4	0.4586	0.3854	0.3588	0.336	0.3134	0.2972	0.2766	0.2635	0.2435	0.2274	0.4651
Fold5	0.5159	0.4777	0.4395	0.4268	0.4013	0.38	0.3558	0.3336	0.3107	0.2924	0.5386
Avg	0.47318	0.41964	0.39072	0.368	0.3462	0.32268	0.30082	0.28076	0.26192	0.24668	0.48886

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4515	0.4595	0.4727	0.4902	0.506	0.5161	0.5178	0.4868	0.2613	0.266	0.5192
Fold2	0.4848	0.4874	0.5054	0.5262	0.5409	0.5553	0.5574	0.5175	0.282	0.2853	0.5516
Fold3	0.5213	0.5289	0.5408	0.5654	0.5742	0.5809	0.5863	0.5338	0.2822	0.2849	0.5798
Fold4	0.3915	0.4099	0.4324	0.4584	0.4762	0.4891	0.4974	0.4617	0.2067	0.209	0.485
Fold5	0.4872	0.4658	0.4919	0.5023	0.5111	0.5226	0.5258	0.4904	0.2518	0.2547	0.5218
Avg	0.46726	0.4703	0.48864	0.5085	0.52168	0.5328	0.53694	0.49804	0.2568	0.25998	0.53148

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.5223	0.4607	0.414	0.3843	0.3605	0.3369	0.3133	0.2906	0.272	0.2561	0.5047
Fold2	0.5584	0.4873	0.4402	0.4098	0.3775	0.3546	0.327	0.3036	0.2831	0.2654	0.532
Fold3	0.5809	0.5128	0.4631	0.434	0.3932	0.3603	0.3347	0.308	0.2856	0.2677	0.5577
Fold4	0.4553	0.4138	0.3816	0.3617	0.3387	0.3138	0.2924	0.2726	0.2537	0.2374	0.4792
Fold5	0.5426	0.4511	0.4163	0.3771	0.3468	0.3223	0.2976	0.2737	0.2522	0.2366	0.508
Avg	0.5319	0.46514	0.42304	0.39338	0.36334	0.33758	0.313	0.2897	0.26932	0.25264	0.51632
