Algorithm: MART 
Dataset:   MQ2007

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4276	0.4373	0.441	0.4462	0.4477	0.4507	0.4536	0.4561	0.4614	0.4674	0.519
Fold2	0.3972	0.398	0.4004	0.4061	0.4105	0.4142	0.4175	0.4243	0.4295	0.4362	0.4898
Fold3	0.4553	0.426	0.423	0.4216	0.4272	0.4349	0.4367	0.4448	0.4478	0.4529	0.5071
Fold4	0.3559	0.3741	0.379	0.3807	0.3851	0.3909	0.3941	0.3999	0.4064	0.4122	0.4703
Fold5	0.4179	0.4149	0.4202	0.4176	0.418	0.4226	0.4268	0.4333	0.4373	0.4433	0.5002
Avg	0.41078	0.41006	0.41272	0.41444	0.4177	0.42266	0.42574	0.43168	0.43648	0.4424	0.49728

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4911	0.4658	0.4593	0.4479	0.4345	0.4226	0.4137	0.4036	0.3981	0.394	0.4767
Fold2	0.4543	0.4484	0.4376	0.4329	0.4289	0.4199	0.41	0.4063	0.4018	0.3959	0.4607
Fold3	0.5162	0.4617	0.4346	0.4159	0.41	0.4046	0.3961	0.3905	0.3832	0.3767	0.4642
Fold4	0.4307	0.4277	0.4169	0.4019	0.3935	0.3859	0.3759	0.3676	0.3615	0.3569	0.4342
Fold5	0.469	0.4513	0.4425	0.4255	0.4147	0.4046	0.3949	0.389	0.3809	0.3761	0.4613
Avg	0.47226	0.45098	0.43818	0.42482	0.41632	0.40752	0.39812	0.3914	0.3851	0.37992	0.45942

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4346	0.4324	0.4214	0.4219	0.4229	0.43	0.4374	0.4412	0.4466	0.4542	0.5079
Fold2	0.4464	0.4439	0.4416	0.4388	0.4456	0.4529	0.4559	0.4575	0.4642	0.4706	0.5179
Fold3	0.3805	0.4007	0.4082	0.4102	0.4128	0.4164	0.4204	0.4238	0.4283	0.4359	0.4903
Fold4	0.4307	0.429	0.4268	0.4307	0.4348	0.4354	0.436	0.4402	0.4459	0.4525	0.5064
Fold5	0.3658	0.353	0.3635	0.3721	0.3733	0.3803	0.3873	0.3931	0.4027	0.4122	0.465
Avg	0.4116	0.4118	0.4123	0.41474	0.41788	0.423	0.4274	0.43116	0.43754	0.44508	0.4975

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4956	0.4749	0.4405	0.427	0.4177	0.413	0.4083	0.3975	0.3907	0.3864	0.4707
Fold2	0.494	0.4717	0.4544	0.4375	0.4345	0.4256	0.4141	0.4066	0.4038	0.3985	0.4755
Fold3	0.4395	0.4513	0.4425	0.4329	0.4254	0.4149	0.4092	0.4034	0.3976	0.3944	0.4583
Fold4	0.4838	0.4513	0.4317	0.4211	0.4142	0.4017	0.3919	0.3835	0.3773	0.3743	0.4598
Fold5	0.4366	0.4159	0.4071	0.4012	0.3853	0.3805	0.3751	0.3676	0.3638	0.3622	0.432
Avg	0.4699	0.45302	0.43524	0.42394	0.41542	0.40714	0.39972	0.39172	0.38664	0.38316	0.45926

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4245	0.423	0.4313	0.4343	0.4375	0.4407	0.4448	0.4483	0.453	0.4586	0.5126
Fold2	0.4618	0.4577	0.4599	0.463	0.4657	0.4729	0.4774	0.4847	0.4904	0.4967	0.5434
Fold3	0.4244	0.4264	0.4306	0.4306	0.4357	0.4412	0.4452	0.4506	0.4549	0.4611	0.5153
Fold4	0.4191	0.4235	0.4296	0.4342	0.4359	0.4397	0.4444	0.4481	0.4541	0.4583	0.5124
Fold5	0.4596	0.4642	0.4599	0.4628	0.4654	0.4679	0.4703	0.4746	0.4798	0.4841	0.5346
Avg	0.43788	0.43896	0.44226	0.44498	0.44804	0.45248	0.45642	0.46126	0.46644	0.47176	0.52366

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4887	0.4725	0.4621	0.4459	0.4356	0.4249	0.4173	0.4084	0.4001	0.3943	0.4733
Fold2	0.5241	0.501	0.4828	0.4668	0.4553	0.4472	0.4374	0.4312	0.4237	0.4162	0.4994
Fold3	0.4941	0.4724	0.456	0.4393	0.429	0.4209	0.4112	0.4043	0.3964	0.391	0.4764
Fold4	0.4803	0.4655	0.4566	0.4472	0.4339	0.4236	0.4156	0.4078	0.4032	0.3958	0.4748
Fold5	0.5247	0.5005	0.4747	0.4623	0.4505	0.4392	0.4304	0.422	0.4161	0.4082	0.4899
Avg	0.50238	0.48238	0.46644	0.4523	0.44086	0.43116	0.42238	0.41474	0.4079	0.4011	0.48276
