Algorithm: MART 
Dataset:   MQ2008

Performance on testing set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.3611	0.4188	0.4602	0.4839	0.5	0.509	0.5138	0.458	0.2263	0.2292	0.4974
Fold2	0.3546	0.3609	0.4014	0.4178	0.4363	0.448	0.455	0.4365	0.1773	0.1805	0.4485
Fold3	0.3439	0.388	0.4061	0.4372	0.4503	0.4617	0.4664	0.4512	0.2442	0.2484	0.4743
Fold4	0.4522	0.5032	0.529	0.5387	0.5537	0.5633	0.569	0.5175	0.3003	0.3052	0.567
Fold5	0.431	0.4475	0.4669	0.4876	0.5214	0.5343	0.5459	0.5071	0.2225	0.2256	0.5322
Avg	0.38856	0.42368	0.45272	0.47304	0.49234	0.50326	0.51002	0.47406	0.23412	0.23778	0.50388

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.4295	0.4167	0.4124	0.3942	0.3654	0.3312	0.3031	0.2804	0.2621	0.2468	0.4799
Fold2	0.414	0.3662	0.3567	0.3312	0.3172	0.2941	0.2803	0.2627	0.2435	0.2274	0.4359
Fold3	0.4076	0.3981	0.3737	0.3631	0.3312	0.3047	0.2884	0.2739	0.2548	0.2376	0.4549
Fold4	0.5287	0.5159	0.4777	0.4475	0.4153	0.3875	0.3621	0.3432	0.3192	0.2987	0.541
Fold5	0.5032	0.4427	0.4119	0.3854	0.3669	0.3365	0.3185	0.297	0.2774	0.258	0.5382
Avg	0.4566	0.42792	0.40648	0.38428	0.3592	0.3308	0.31048	0.29144	0.2714	0.2537	0.48998

Performance on validation set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4692	0.482	0.5016	0.5241	0.5481	0.5677	0.5686	0.5261	0.2309	0.2341	0.5595
Fold2	0.3803	0.4193	0.4509	0.4774	0.4993	0.5071	0.5124	0.4573	0.23	0.2335	0.4969
Fold3	0.3673	0.3864	0.4214	0.4331	0.4511	0.4648	0.4672	0.4498	0.1839	0.1854	0.4632
Fold4	0.3843	0.3981	0.4139	0.4458	0.4669	0.4785	0.48	0.4606	0.2587	0.262	0.4846
Fold5	0.4459	0.4936	0.5225	0.5409	0.5595	0.565	0.5707	0.5177	0.3012	0.3061	0.5655
Avg	0.4094	0.43588	0.46206	0.48426	0.50498	0.51662	0.51978	0.4823	0.24094	0.24422	0.51394

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.5414	0.4682	0.4331	0.4013	0.372	0.3503	0.3185	0.297	0.2739	0.2554	0.5575
Fold2	0.4744	0.4231	0.4081	0.3846	0.3603	0.3312	0.3013	0.2837	0.2635	0.2487	0.4894
Fold3	0.4268	0.3885	0.3673	0.336	0.3185	0.2972	0.2784	0.2627	0.2442	0.228	0.4509
Fold4	0.465	0.414	0.3758	0.3678	0.3439	0.3206	0.2948	0.2731	0.2576	0.2414	0.4772
Fold5	0.5223	0.5096	0.4798	0.4443	0.4255	0.3917	0.3658	0.3416	0.3192	0.2981	0.539
Avg	0.48598	0.44068	0.41282	0.3868	0.36404	0.3382	0.31176	0.29162	0.27168	0.25432	0.5028

Performance on training set
Folds	NDCG@1	NDCG@2	NDCG@3	NDCG@4	NDCG@5	NDCG@6	NDCG@7	NDCG@8	NDCG@9	NDCG@10	MeanNDCG
Fold1	0.4416	0.4881	0.5023	0.5162	0.5276	0.54	0.5389	0.5039	0.2691	0.273	0.5407
Fold2	0.4763	0.4998	0.5194	0.537	0.5546	0.5647	0.5672	0.5253	0.2826	0.2864	0.5655
Fold3	0.4362	0.4642	0.4903	0.5094	0.5304	0.5415	0.5493	0.4972	0.2534	0.2551	0.5368
Fold4	0.4234	0.4498	0.4752	0.4947	0.5137	0.5271	0.53	0.4888	0.2207	0.2232	0.5192
Fold5	0.373	0.4007	0.4273	0.4459	0.465	0.4808	0.486	0.4527	0.2177	0.2209	0.4783
Avg	0.4301	0.46052	0.4829	0.50064	0.51826	0.53082	0.53428	0.49358	0.2487	0.25172	0.5281

Folds	P@1	P@2	P@3	P@4	P@5	P@6	P@7	P@8	P@9	P@10	MAP
Fold1	0.5053	0.482	0.4395	0.4076	0.3758	0.3521	0.3245	0.3004	0.2798	0.2611	0.5158
Fold2	0.5456	0.4947	0.4572	0.423	0.3941	0.3641	0.3361	0.3129	0.2918	0.2713	0.5518
Fold3	0.5085	0.4649	0.4376	0.4096	0.3868	0.3567	0.3316	0.3101	0.287	0.2668	0.5245
Fold4	0.483	0.4383	0.4092	0.3819	0.3591	0.3344	0.3076	0.2854	0.265	0.2472	0.5069
Fold5	0.434	0.4064	0.3823	0.3601	0.3379	0.3177	0.2948	0.2723	0.2541	0.2379	0.4661
Avg	0.49528	0.45726	0.42516	0.39644	0.37074	0.345	0.31892	0.29622	0.27554	0.25686	0.51302
